Memory Length,500,
Trigger Level,0.00V  ,
Source,CH1,
Vertical Position,0,
Vertical Offset,0,
Time Base,100us,
Volts,2V,
Probe,X 1,
Coupling,DC,
Horizontal View,Main,
Waveform Last Dot Address,500,
Horizontal,0.000 s ,
Time,24-May-24 12:14,
Sampling Period,4.000us,
Sampling Mode,Equivalent Time,
Waveform Data,
-28,
-27,
-27,
-26,
-27,
-26,
-25,
-23,
-22,
-20,
-18,
-16,
-14,
-12,
-9,
-7,
-5,
-3,
-1,
1,
3,
5,
7,
8,
10,
11,
13,
15,
16,
18,
19,
21,
21,
23,
23,
24,
25,
28,
28,
28,
28,
28,
29,
27,
27,
25,
22,
21,
20,
18,
15,
14,
11,
9,
6,
5,
2,
1,
-1,
-3,
-5,
-7,
-8,
-10,
-13,
-14,
-16,
-17,
-18,
-19,
-20,
-20,
-22,
-24,
-24,
-26,
-27,
-27,
-29,
-28,
-27,
-26,
-27,
-26,
-25,
-22,
-20,
-20,
-17,
-15,
-13,
-12,
-9,
-7,
-4,
-2,
0,
1,
3,
5,
7,
8,
11,
12,
14,
16,
17,
19,
19,
20,
22,
22,
24,
26,
26,
27,
28,
28,
29,
28,
28,
27,
26,
25,
23,
21,
19,
17,
14,
12,
10,
8,
6,
4,
2,
0,
-2,
-4,
-6,
-8,
-9,
-11,
-13,
-14,
-16,
-17,
-19,
-20,
-20,
-22,
-23,
-23,
-25,
-27,
-27,
-27,
-27,
-28,
-27,
-28,
-26,
-25,
-25,
-22,
-20,
-19,
-17,
-15,
-12,
-11,
-7,
-6,
-4,
-2,
1,
2,
4,
6,
7,
10,
11,
13,
14,
16,
17,
19,
19,
20,
22,
23,
25,
25,
27,
27,
28,
28,
29,
28,
28,
27,
25,
24,
21,
20,
19,
17,
14,
11,
10,
7,
6,
4,
1,
-1,
-2,
-5,
-7,
-8,
-10,
-12,
-14,
-14,
-16,
-18,
-19,
-20,
-21,
-23,
-23,
-25,
-25,
-26,
-27,
-29,
-28,
-28,
-27,
-27,
-26,
-25,
-24,
-22,
-21,
-18,
-17,
-14,
-12,
-10,
-7,
-5,
-3,
-2,
0,
3,
5,
7,
8,
10,
11,
13,
15,
16,
17,
18,
20,
20,
24,
24,
25,
26,
27,
28,
28,
29,
28,
28,
27,
26,
26,
23,
21,
19,
18,
15,
13,
12,
9,
7,
4,
3,
-1,
-2,
-3,
-5,
-7,
-9,
-11,
-12,
-14,
-16,
-17,
-18,
-19,
-21,
-22,
-23,
-24,
-25,
-26,
-27,
-28,
-28,
-27,
-28,
-28,
-25,
-25,
-25,
-23,
-22,
-20,
-18,
-16,
-14,
-12,
-9,
-6,
-5,
-2,
0,
1,
4,
5,
7,
8,
10,
11,
13,
15,
16,
17,
19,
20,
21,
22,
24,
25,
26,
26,
27,
28,
28,
27,
28,
27,
26,
24,
22,
20,
18,
17,
15,
13,
10,
8,
6,
3,
2,
-1,
-3,
-5,
-6,
-8,
-10,
-11,
-13,
-14,
-16,
-18,
-18,
-19,
-21,
-22,
-23,
-25,
-25,
-26,
-26,
-28,
-27,
-28,
-27,
-27,
-27,
-25,
-24,
-23,
-20,
-20,
-18,
-15,
-13,
-10,
-10,
-6,
-4,
-3,
0,
2,
4,
6,
7,
9,
11,
13,
13,
15,
16,
18,
19,
21,
21,
23,
24,
26,
26,
27,
28,
28,
28,
28,
28,
26,
25,
23,
22,
20,
18,
16,
15,
12,
9,
7,
6,
3,
1,
-1,
-3,
-5,
-7,
-9,
-10,
-12,
-13,
-16,
-17,
-18,
-19,
-20,
-21,
-22,
-24,
-25,
-26,
-26,
-27,
-28,
-27,
-28,
-28,
-28,
-26,
-25,
-23,
-22,
-21,
-17,
-16,
-14,
-12,
-10,
-8,
-5,
-3,
-1,
1,
3,
4,
6,
8,
10,
11,
13,
14,
16,
17,
19,
19,
21,
22,
